team,baseline_rpg,best_rpg,delta_rpg,p_value,n_padded,baseline_order,best_order,baseline_ids,best_ids,best_from_slots
KC,3.9332,3.9932,0.0601,0.15965,0,Maikel Garcia|Bobby Witt Jr.|Vinnie Pasquantino|Salvador Perez|Carter Jensen|Jac Caglianone|Isaac Collins|Michael Massey|Kyle Isbel,Jac Caglianone|Maikel Garcia|Isaac Collins|Bobby Witt Jr.|Vinnie Pasquantino|Michael Massey|Carter Jensen|Salvador Perez|Kyle Isbel,672580|677951|686469|521692|695600|695506|686555|686681|664728,695506|672580|686555|677951|686469|686681|695600|521692|664728,6|1|7|2|3|8|5|4|9
COL,4.8024,4.862,0.0596,0.00364,0,Jake McCarthy|Mickey Moniak|TJ Rumfield|Hunter Goodman|Troy Johnston|Willi Castro|Kyle Karros|Ezequiel Tovar|Edouard Julien,Troy Johnston|Kyle Karros|Jake McCarthy|Mickey Moniak|TJ Rumfield|Willi Castro|Hunter Goodman|Ezequiel Tovar|Edouard Julien,664983|666160|681198|696100|687859|650489|691720|678662|666397,687859|691720|664983|666160|681198|650489|696100|678662|666397,5|7|1|2|3|6|4|8|9
TOR,4.1516,4.2068,0.0552,0.42244,0,George Springer|Nathan Lukes|Vladimir Guerrero Jr.|Kazuma Okamoto|Ernie Clement|Daulton Varsho|Myles Straw|Andrés Giménez|Brandon Valenzuela,Vladimir Guerrero Jr.|Kazuma Okamoto|Daulton Varsho|Nathan Lukes|George Springer|Ernie Clement|Andrés Giménez|Myles Straw|Brandon Valenzuela,543807|664770|665489|672960|676391|662139|664702|665926|678218,665489|672960|662139|664770|543807|676391|665926|664702|678218,3|4|6|2|1|5|8|7|9
TEX,4.0945,4.1478,0.0533,0.31927,0,Brandon Nimmo|Josh Jung|Corey Seager|Jake Burger|Ezequiel Duran|Evan Carter|Alejandro Osuna|Kyle Higashioka|Joc Pederson,Brandon Nimmo|Joc Pederson|Corey Seager|Jake Burger|Alejandro Osuna|Josh Jung|Evan Carter|Ezequiel Duran|Kyle Higashioka,607043|673962|608369|669394|677649|694497|696030|543309|592626,607043|592626|608369|669394|696030|673962|694497|677649|543309,1|9|3|4|7|2|6|5|8
CWS,4.4432,4.495,0.0517,0.17504,0,Sam Antonacci|Munetaka Murakami|Miguel Vargas|Colson Montgomery|Chase Meidroth|Andrew Benintendi|Tristan Peters|Luisangel Acuña|Edgar Quero,Sam Antonacci|Munetaka Murakami|Miguel Vargas|Tristan Peters|Chase Meidroth|Andrew Benintendi|Colson Montgomery|Luisangel Acuña|Edgar Quero,803011|808959|678246|695657|805367|643217|671976|682668|700337,803011|808959|678246|671976|805367|643217|695657|682668|700337,1|2|3|7|5|6|4|8|9
ATL,4.5668,4.6176,0.0508,0.06449,0,Ronald Acuña Jr.|Drake Baldwin|Matt Olson|Ozzie Albies|Austin Riley|Mauricio Dubón|Dominic Smith|Mike Yastrzemski|Michael Harris II,Ronald Acuña Jr.|Drake Baldwin|Matt Olson|Dominic Smith|Michael Harris II|Mauricio Dubón|Ozzie Albies|Mike Yastrzemski|Austin Riley,660670|686948|621566|645277|663586|643289|642086|573262|671739,660670|686948|621566|642086|671739|643289|645277|573262|663586,1|2|3|7|9|6|4|8|5
NYM,3.8146,3.8631,0.0485,0.23405,0,Carson Benge|Bo Bichette|Juan Soto|Mark Vientos|Brett Baty|Marcus Semien|A.J. Ewing|Francisco Alvarez|Luis Torrens,Brett Baty|A.J. Ewing|Juan Soto|Francisco Alvarez|Carson Benge|Mark Vientos|Luis Torrens|Bo Bichette|Marcus Semien,701807|666182|665742|668901|683146|543760|805999|682626|620443,683146|805999|665742|682626|701807|668901|620443|666182|543760,5|7|3|8|1|4|9|2|6
PHI,4.2993,4.347,0.0477,0.15976,0,Trea Turner|Kyle Schwarber|Bryce Harper|Alec Bohm|Brandon Marsh|Bryson Stott|J.T. Realmuto|Justin Crawford|Adolis García,Bryce Harper|Brandon Marsh|Kyle Schwarber|Bryson Stott|J.T. Realmuto|Alec Bohm|Justin Crawford|Adolis García|Trea Turner,607208|656941|547180|664761|669016|681082|592663|702222|666969,547180|669016|656941|681082|592663|664761|702222|666969|607208,3|5|2|6|7|4|8|9|1
CHC,4.7511,4.797,0.0459,0.01701,0,Nico Hoerner|Alex Bregman|Michael Busch|Ian Happ|Seiya Suzuki|Dansby Swanson|Carson Kelly|Pete Crow-Armstrong|Moisés Ballesteros,Carson Kelly|Alex Bregman|Michael Busch|Pete Crow-Armstrong|Seiya Suzuki|Dansby Swanson|Nico Hoerner|Ian Happ|Moisés Ballesteros,663538|608324|683737|664023|673548|621020|608348|691718|694208,608348|608324|683737|691718|673548|621020|663538|664023|694208,7|2|3|8|5|6|1|4|9
DET,4.1203,4.1619,0.0416,0.01289,0,Kevin McGonigle|Gleyber Torres|Colt Keith|Riley Greene|Spencer Torkelson|Kerry Carpenter|Zach McKinstry|Wenceel Pérez|Matt Vierling,Kevin McGonigle|Gleyber Torres|Kerry Carpenter|Riley Greene|Spencer Torkelson|Colt Keith|Wenceel Pérez|Zach McKinstry|Matt Vierling,805808|650402|690993|682985|679529|681481|656716|672761|663837,805808|650402|681481|682985|679529|690993|672761|656716|663837,1|2|6|4|5|3|8|7|9
