batter,name,pa,k_pct,bb_pct,chase_pct,whiff_pct,barrel_pct,kmeans_label,gmm_label,dbscan_label,archetype
695578,James Wood,402,30.59701492537313,13.930348258706468,23.484848484848484,30.48211508553655,23.0,1,1,-1,power
621493,Taylor Ward,392,20.918367346938776,16.581632653061224,14.09313725490196,16.817359855334537,5.4,0,0,0,contact
683002,Gunnar Henderson,390,23.33333333333333,7.6923076923076925,32.49686323713927,21.62883845126836,8.0,0,1,0,contact
701762,Nick Kurtz,383,30.026109660574413,16.971279373368148,22.23489167616876,32.50728862973761,18.4,1,1,-1,power
608324,Alex Bregman,381,16.010498687664043,10.761154855643044,21.90860215053764,16.31663974151858,4.5,0,0,0,contact
663538,Nico Hoerner,376,7.180851063829787,9.04255319148936,30.16759776536313,10.299003322259136,1.0,0,0,0,contact
683737,Michael Busch,376,22.606382978723403,15.425531914893616,23.55828220858896,24.227642276422763,10.8,1,1,0,power
687263,Zach Neto,375,32.266666666666666,10.4,35.32277710109622,30.87248322147651,13.5,1,1,0,power
677594,Julio Rodríguez,373,20.91152815013405,7.238605898123325,38.9873417721519,25.925925925925927,9.2,1,1,0,power
624413,Pete Alonso,373,24.396782841823057,10.99195710455764,25.9927797833935,25.970149253731343,12.8,1,1,0,power
666182,Bo Bichette,371,18.598382749326145,5.929919137466308,40.13793103448276,16.852367688022284,7.2,0,0,0,contact
670541,Yordan Álvarez,370,17.2972972972973,12.16216216216216,27.064803049555277,16.63974151857835,18.5,1,1,0,power
691718,Pete Crow-Armstrong,369,26.016260162601625,9.75609756097561,36.91529709228824,26.301369863013697,11.0,1,1,0,power
668804,Bryan Reynolds,368,21.467391304347824,14.673913043478262,23.08690012970169,26.046511627906977,10.1,1,1,0,power
607208,Trea Turner,366,22.6775956284153,6.0109289617486334,35.859269282814616,25.45201668984701,5.4,0,0,0,contact
671056,Iván Herrera,365,15.616438356164384,12.054794520547944,26.527958387516254,18.48739495798319,6.7,0,0,0,contact
805808,Kevin Mcgonigle,365,13.6986301369863,14.794520547945206,17.801047120418847,13.964686998394864,7.8,0,0,0,contact
681624,Andy Pages,364,19.78021978021978,7.142857142857143,33.246753246753244,20.827389443651924,8.8,0,1,0,contact
656941,Kyle Schwarber,362,33.70165745856354,13.535911602209945,25.059952038369303,31.140350877192983,20.2,1,1,-1,power
701398,Sal Stewart,362,21.54696132596685,10.773480662983426,27.956989247311828,24.11764705882353,14.6,1,1,0,power
695734,Daylen Lile,360,16.944444444444443,6.388888888888889,36.63663663663664,20.72992700729927,6.7,0,0,0,contact
518692,Freddie Freeman,359,16.434540389972145,11.6991643454039,26.700251889168765,19.10569105691057,11.0,0,1,0,contact
672640,Otto Lopez,359,13.927576601671309,4.456824512534819,34.2814371257485,18.66883116883117,6.9,0,0,0,contact
666176,Jo Adell,359,22.841225626740947,2.785515320334262,38.36734693877551,24.51108213820078,8.3,0,1,0,contact
660271,Shohei Ohtani,359,23.11977715877437,12.813370473537605,28.64583333333333,25.0,16.8,1,1,0,power
691406,Junior Caminero,358,17.318435754189945,11.452513966480447,28.15286624203822,20.0,13.1,0,1,0,contact
665487,Fernando Tatís,358,20.11173184357542,8.100558659217876,27.39322533136966,26.08695652173913,10.7,1,1,0,power
641355,Cody Bellinger,357,13.72549019607843,13.72549019607843,28.995756718528995,17.60797342192691,7.4,0,1,0,contact
668930,Brice Turang,357,26.050420168067227,12.88515406162465,23.60742705570292,20.28985507246377,9.0,1,1,0,power
621566,Matt Olson,357,22.969187675070028,8.96358543417367,27.68079800498753,19.91525423728813,13.3,1,1,0,power
678246,Miguel Vargas,356,16.573033707865168,13.764044943820224,20.74175824175824,16.27172195892575,14.5,0,1,0,contact
669364,Xavier Edwards,356,12.359550561797754,10.674157303370787,22.790055248618785,13.333333333333334,4.8,0,0,0,contact
646240,Rafael Devers,355,29.5774647887324,7.042253521126761,30.344827586206897,27.77777777777778,11.3,1,1,0,power
572233,Christian Walker,355,21.97183098591549,7.605633802816901,29.619565217391305,25.65982404692082,9.8,1,1,0,power
664023,Ian Happ,355,31.83098591549296,12.112676056338028,25.19893899204244,29.23076923076923,14.1,1,1,0,power
547180,Bryce Harper,355,19.154929577464788,13.80281690140845,33.917396745932415,28.062678062678064,12.7,1,1,0,power
682985,Riley Greene,354,26.836158192090394,12.429378531073446,24.967658473479947,27.12369597615499,12.7,1,1,0,power
607043,Brandon Nimmo,354,20.62146892655367,7.909604519774011,28.018575851393187,18.59070464767616,13.0,0,1,0,contact
669127,Shea Langeliers,353,20.113314447592067,7.36543909348442,31.66189111747851,25.460122699386503,14.1,1,1,0,power
606466,Ketel Marte,351,13.675213675213676,7.407407407407407,31.38138138138138,19.249592169657426,11.3,0,1,0,contact
645277,Ozzie Albies,351,11.396011396011396,6.552706552706553,36.16398243045388,17.899408284023668,3.9,0,0,0,contact
682928,Cj Abrams,351,21.65242165242165,8.262108262108262,36.79775280898876,27.25925925925926,9.9,1,1,0,power
802139,Jj Wetherholt,351,15.954415954415955,9.401709401709402,22.446043165467625,18.896321070234112,6.9,0,0,0,contact
677800,Wilyer Abreu,351,18.803418803418804,9.116809116809115,31.258840169731258,20.353982300884955,11.2,0,1,0,contact
664040,Brandon Lowe,351,26.21082621082621,9.686609686609687,33.5509138381201,32.38636363636363,13.0,1,1,0,power
666018,Jonathan Aranda,350,22.285714285714285,12.571428571428571,27.00831024930748,18.81188118811881,10.1,1,1,0,power
677951,Bobby Witt,350,17.142857142857142,9.714285714285714,32.73480662983425,21.009771986970684,12.3,0,1,0,contact
656305,Matt Chapman,349,22.922636103151863,10.31518624641834,26.264044943820224,21.21212121212121,6.6,0,0,0,contact
650333,Luis Arráez,349,3.7249283667621778,4.584527220630372,32.89473684210526,7.109737248840804,0.3,0,0,-1,contact
805300,Jakob Marsee,349,23.49570200573066,12.607449856733524,23.680456490727533,17.805755395683452,3.3,0,0,0,contact
676475,Alec Burleson,348,14.367816091954024,8.045977011494253,33.58895705521472,17.8343949044586,11.0,0,1,0,contact
702284,Cole Young,348,16.95402298850575,6.32183908045977,30.194319880418536,17.57188498402556,5.5,0,0,0,contact
682998,Corbin Carroll,345,21.44927536231884,10.72463768115942,29.9860529986053,26.094003241491087,12.2,1,1,0,power
647304,Josh Naylor,344,12.790697674418604,6.976744186046512,35.980551053484604,16.524701873935264,5.2,0,0,0,contact
665489,Vladimir Guerrero,344,10.755813953488373,8.720930232558139,30.98802395209581,17.37649063032368,6.7,0,0,0,contact
805367,Chase Meidroth,344,24.41860465116279,9.011627906976743,27.401129943502823,17.94871794871795,4.4,0,0,0,contact
650490,Yandy Díaz,342,13.157894736842104,8.771929824561404,26.34069400630915,11.785095320623917,7.5,0,0,0,contact
642715,Willy Adames,342,27.77777777777778,5.555555555555555,32.448377581120944,27.429467084639494,9.3,1,1,0,power
673962,Josh Jung,341,17.88856304985337,7.331378299120234,30.35439137134052,17.098445595854923,5.6,0,0,0,contact
672695,Geraldo Perdomo,341,12.609970674486805,14.662756598240469,22.175732217573223,10.611510791366907,3.3,0,0,0,contact
700250,Ben Rice,340,23.529411764705884,10.882352941176473,24.390243902439025,23.529411764705884,13.9,1,1,0,power
592518,Manny Machado,340,21.764705882352946,10.294117647058824,30.76923076923077,23.62804878048781,10.1,1,1,0,power
672960,Kazuma Okamoto,340,32.35294117647059,9.411764705882351,25.70281124497992,32.45749613601237,14.5,1,1,0,power
701538,Jackson Merrill,339,25.073746312684367,6.489675516224189,35.2054794520548,25.135135135135137,9.6,1,1,0,power
680776,Jarren Duran,338,29.881656804733726,6.21301775147929,35.96358118361153,32.85024154589372,10.4,1,1,0,power
