batter,name,pa,k_pct,bb_pct,chase_pct,whiff_pct,barrel_pct
695578,James Wood,402,30.597014925373134,13.930348258706468,23.484848484848484,30.48211508553655,23.0
621493,Taylor Ward,392,20.918367346938776,16.581632653061224,14.093137254901961,16.817359855334537,5.4
683002,Gunnar Henderson,390,23.333333333333332,7.6923076923076925,32.49686323713927,21.628838451268358,8.0
701762,Nick Kurtz,383,30.026109660574413,16.971279373368148,22.234891676168758,32.50728862973761,18.4
608324,Alex Bregman,381,16.010498687664043,10.761154855643044,21.908602150537636,16.31663974151858,4.5
663538,Nico Hoerner,376,7.180851063829787,9.042553191489361,30.16759776536313,10.299003322259136,1.0
683737,Michael Busch,376,22.606382978723403,15.425531914893616,23.558282208588956,24.227642276422763,10.8
687263,Zach Neto,375,32.266666666666666,10.4,35.32277710109622,30.87248322147651,13.5
677594,Julio Rodríguez,373,20.91152815013405,7.238605898123325,38.9873417721519,25.925925925925927,9.2
624413,Pete Alonso,373,24.396782841823057,10.99195710455764,25.9927797833935,25.970149253731343,12.8
666182,Bo Bichette,371,18.598382749326145,5.929919137466308,40.13793103448276,16.852367688022284,7.2
670541,Yordan Álvarez,370,17.2972972972973,12.162162162162161,27.064803049555273,16.63974151857835,18.5
691718,Pete Crow-Armstrong,369,26.016260162601625,9.75609756097561,36.91529709228824,26.301369863013697,11.0
668804,Bryan Reynolds,368,21.467391304347824,14.673913043478262,23.086900129701686,26.046511627906977,10.1
607208,Trea Turner,366,22.6775956284153,6.0109289617486334,35.859269282814616,25.45201668984701,5.4
671056,Iván Herrera,365,15.616438356164384,12.054794520547945,26.527958387516254,18.48739495798319,6.7
805808,Kevin Mcgonigle,365,13.698630136986301,14.794520547945206,17.801047120418847,13.964686998394864,7.8
681624,Andy Pages,364,19.78021978021978,7.142857142857143,33.246753246753244,20.827389443651924,8.8
656941,Kyle Schwarber,362,33.70165745856354,13.535911602209945,25.059952038369303,31.140350877192983,20.2
701398,Sal Stewart,362,21.54696132596685,10.773480662983426,27.956989247311828,24.11764705882353,14.6
695734,Daylen Lile,360,16.944444444444443,6.388888888888889,36.63663663663664,20.72992700729927,6.7
518692,Freddie Freeman,359,16.434540389972145,11.699164345403899,26.700251889168765,19.10569105691057,11.0
672640,Otto Lopez,359,13.927576601671309,4.456824512534819,34.2814371257485,18.66883116883117,6.9
666176,Jo Adell,359,22.841225626740947,2.785515320334262,38.36734693877551,24.51108213820078,8.3
660271,Shohei Ohtani,359,23.119777158774372,12.813370473537605,28.645833333333332,25.0,16.8
691406,Junior Caminero,358,17.318435754189945,11.452513966480447,28.15286624203822,20.0,13.1
665487,Fernando Tatís,358,20.11173184357542,8.100558659217876,27.39322533136966,26.08695652173913,10.7
641355,Cody Bellinger,357,13.72549019607843,13.72549019607843,28.995756718528995,17.60797342192691,7.4
668930,Brice Turang,357,26.050420168067227,12.88515406162465,23.607427055702917,20.28985507246377,9.0
621566,Matt Olson,357,22.969187675070028,8.96358543417367,27.68079800498753,19.915254237288135,13.3
678246,Miguel Vargas,356,16.573033707865168,13.764044943820224,20.74175824175824,16.27172195892575,14.5
669364,Xavier Edwards,356,12.359550561797754,10.674157303370787,22.790055248618785,13.333333333333334,4.8
646240,Rafael Devers,355,29.577464788732396,7.042253521126761,30.344827586206897,27.77777777777778,11.3
572233,Christian Walker,355,21.971830985915492,7.605633802816901,29.619565217391305,25.65982404692082,9.8
664023,Ian Happ,355,31.830985915492956,12.112676056338028,25.19893899204244,29.23076923076923,14.1
547180,Bryce Harper,355,19.154929577464788,13.80281690140845,33.917396745932415,28.062678062678064,12.7
682985,Riley Greene,354,26.836158192090394,12.429378531073446,24.967658473479947,27.12369597615499,12.7
607043,Brandon Nimmo,354,20.62146892655367,7.909604519774011,28.018575851393187,18.590704647676162,13.0
669127,Shea Langeliers,353,20.113314447592067,7.36543909348442,31.66189111747851,25.460122699386503,14.1
606466,Ketel Marte,351,13.675213675213675,7.407407407407407,31.38138138138138,19.249592169657422,11.3
645277,Ozzie Albies,351,11.396011396011396,6.552706552706553,36.16398243045388,17.899408284023668,3.9
682928,Cj Abrams,351,21.65242165242165,8.262108262108262,36.79775280898876,27.25925925925926,9.9
802139,Jj Wetherholt,351,15.954415954415955,9.401709401709402,22.446043165467625,18.896321070234112,6.9
677800,Wilyer Abreu,351,18.803418803418804,9.116809116809117,31.258840169731258,20.353982300884955,11.2
664040,Brandon Lowe,351,26.210826210826212,9.686609686609687,33.5509138381201,32.38636363636363,13.0
666018,Jonathan Aranda,350,22.285714285714285,12.571428571428571,27.008310249307478,18.81188118811881,10.1
677951,Bobby Witt,350,17.142857142857142,9.714285714285714,32.73480662983425,21.009771986970684,12.3
656305,Matt Chapman,349,22.922636103151863,10.315186246418339,26.264044943820224,21.21212121212121,6.6
650333,Luis Arráez,349,3.7249283667621778,4.584527220630372,32.89473684210526,7.109737248840804,0.3
805300,Jakob Marsee,349,23.49570200573066,12.607449856733524,23.680456490727533,17.805755395683452,3.3
676475,Alec Burleson,348,14.367816091954023,8.045977011494253,33.58895705521472,17.8343949044586,11.0
702284,Cole Young,348,16.95402298850575,6.32183908045977,30.194319880418536,17.57188498402556,5.5
682998,Corbin Carroll,345,21.44927536231884,10.72463768115942,29.9860529986053,26.094003241491087,12.2
647304,Josh Naylor,344,12.790697674418604,6.976744186046512,35.980551053484604,16.524701873935264,5.2
665489,Vladimir Guerrero,344,10.755813953488373,8.720930232558139,30.98802395209581,17.37649063032368,6.7
805367,Chase Meidroth,344,24.41860465116279,9.011627906976743,27.401129943502823,17.94871794871795,4.4
650490,Yandy Díaz,342,13.157894736842104,8.771929824561404,26.34069400630915,11.785095320623917,7.5
642715,Willy Adames,342,27.77777777777778,5.555555555555555,32.448377581120944,27.429467084639498,9.3
673962,Josh Jung,341,17.88856304985337,7.331378299120234,30.354391371340522,17.098445595854923,5.6
672695,Geraldo Perdomo,341,12.609970674486803,14.662756598240469,22.175732217573223,10.611510791366907,3.3
700250,Ben Rice,340,23.529411764705884,10.882352941176471,24.390243902439025,23.529411764705884,13.9
592518,Manny Machado,340,21.764705882352942,10.294117647058824,30.76923076923077,23.628048780487806,10.1
672960,Kazuma Okamoto,340,32.35294117647059,9.411764705882353,25.70281124497992,32.45749613601237,14.5
701538,Jackson Merrill,339,25.073746312684367,6.489675516224189,35.205479452054796,25.135135135135137,9.6
680776,Jarren Duran,338,29.881656804733726,6.21301775147929,35.96358118361153,32.85024154589372,10.4
691023,Jordan Walker,338,25.7396449704142,6.804733727810651,35.50834597875569,28.706624605678233,13.3
545361,Mike Trout,337,24.62908011869436,17.2106824925816,19.302949061662197,20.55045871559633,20.9
575929,Willson Contreras,337,25.816023738872403,8.90207715133531,34.45378151260504,29.612403100775193,13.8
663656,Kyle Tucker,336,21.13095238095238,12.202380952380953,25.40381791483113,21.745788667687595,5.9
691016,Tyler Soderstrom,336,17.55952380952381,11.607142857142858,25.958702064896755,19.897084048027445,10.0
661388,William Contreras,336,13.392857142857142,8.333333333333334,28.684627575277336,17.15867158671587,7.8
670623,Isaac Paredes,335,15.82089552238806,9.850746268656716,27.468354430379748,16.512345679012345,6.3
701807,Carson Benge,334,21.856287425149702,6.88622754491018,26.431718061674008,19.967532467532468,8.1
695657,Colson Montgomery,334,31.736526946107784,8.083832335329342,31.927710843373493,33.99390243902439,14.4
521692,Salvador Pérez,334,19.760479041916167,3.2934131736526946,45.55712270803949,23.672883787661405,9.3
681198,Tj Rumfield,334,14.37125748502994,9.580838323353293,30.91715976331361,18.078175895765472,6.1
663586,Austin Riley,333,28.52852852852853,8.408408408408409,32.658569500674766,29.793977812995244,9.9
696100,Hunter Goodman,333,32.732732732732735,6.906906906906907,41.07402031930334,32.23388305847077,17.4
668227,Randy Arozarena,332,21.987951807228917,9.036144578313253,31.757754800590842,25.16025641025641,7.4
669394,Jake Burger,331,25.981873111782477,8.157099697885196,36.52694610778443,31.973898858075042,9.7
621439,Byron Buxton,330,24.545454545454547,6.363636363636363,35.07692307692308,29.513343799058084,18.5
605137,Josh Bell,329,21.580547112462007,6.990881458966565,31.2316715542522,22.526636225266362,10.0
676391,Ernie Clement,327,10.091743119266056,3.363914373088685,44.79371316306483,14.56140350877193,2.5
679529,Spencer Torkelson,326,32.20858895705521,11.349693251533742,21.866295264623954,29.096989966555185,13.5
686797,Brooks Lee,325,15.384615384615385,6.769230769230769,32.84313725490196,18.312101910828027,4.4
664761,Alec Bohm,325,14.153846153846153,6.461538461538462,24.829931972789115,13.747645951035782,4.4
693307,Dillon Dingler,324,21.604938271604937,7.098765432098766,34.575260804769,20.230263157894736,12.6
665862,Jazz Chisholm,323,28.48297213622291,10.526315789473685,28.34757834757835,29.879101899827287,8.8
701358,Cam Smith,321,25.233644859813083,8.722741433021806,28.38038632986627,27.850162866449512,12.6
543760,Marcus Semien,320,21.25,7.1875,29.195804195804197,21.59468438538206,8.0
693304,Nick Gonzales,319,18.808777429467085,6.269592476489028,31.90082644628099,21.337579617834393,3.0
669477,Casey Schmitt,318,19.18238993710692,2.20125786163522,37.2791519434629,20.35830618892508,12.8
807712,Luke Keaschall,317,15.141955835962145,9.46372239747634,22.92358803986711,14.343434343434344,3.0
621020,Dansby Swanson,317,23.974763406940063,11.67192429022082,25.70162481536189,28.141592920353983,7.0
668715,Spencer Steer,316,23.417721518987342,9.177215189873417,26.27511591962906,22.968197879858657,12.9
680757,Steven Kwan,316,10.443037974683545,12.341772151898734,21.990369181380416,7.4324324324324325,0.4
669016,Brandon Marsh,315,26.03174603174603,4.126984126984127,38.422818791946305,22.63242375601926,9.3
677587,Brayan Rocchio,315,13.333333333333334,7.936507936507937,33.73676248108926,21.521035598705502,2.5
643289,Mauricio Dubón,315,14.285714285714286,6.031746031746032,37.17948717948718,14.403973509933774,5.3
678882,Ceddanne Rafaela,315,19.365079365079364,4.761904761904762,40.1305057096248,22.22222222222222,5.2
608070,José Ramírez,314,14.012738853503185,11.464968152866241,29.65616045845272,15.126050420168067,6.6
593428,Xander Bogaerts,314,17.8343949044586,10.828025477707007,25.914149443561207,20.801526717557252,5.9
802415,Chandler Simpson,312,10.256410256410257,5.448717948717949,29.79591836734694,8.421052631578947,0.0
691026,Masyn Winn,307,19.218241042345277,8.143322475570033,23.69747899159664,18.7984496124031,3.2
808982,Jung Hoo Lee,306,9.477124183006536,4.248366013071895,30.40421792618629,10.836501901140684,2.7
681082,Bryson Stott,302,17.549668874172184,7.28476821192053,32.854864433811805,15.849056603773585,7.1
571448,Nolan Arenado,302,20.198675496688743,7.947019867549669,31.87311178247734,21.32616487455197,6.7
695600,Carter Jensen,300,26.333333333333332,8.666666666666666,25.0,25.849056603773583,8.3
678662,Ezequiel Tovar,300,27.666666666666668,5.333333333333333,45.18900343642612,26.696165191740413,7.1
571970,Max Muncy,299,23.411371237458194,11.705685618729097,24.750830564784053,24.517374517374517,14.7
695506,Jac Caglianone,297,30.303030303030305,8.417508417508417,34.905660377358494,28.448275862068964,16.9
687462,Spencer Horwitz,296,13.513513513513514,13.513513513513514,24.165341812400637,13.721413721413722,8.6
680574,Matt Mclain,296,26.013513513513512,11.824324324324325,24.675324675324674,23.74245472837022,9.4
671739,Michael Harris,295,20.0,4.406779661016949,45.2991452991453,22.972972972972972,14.6
672580,Maikel García,294,15.306122448979592,8.16326530612245,22.735346358792185,13.769751693002258,4.9
673548,Seiya Suzuki,294,26.53061224489796,9.863945578231293,23.04147465437788,24.37619961612284,8.3
686469,Vinnie Pasquantino,293,17.406143344709896,10.238907849829351,30.015797788309637,14.095238095238095,7.2
689414,Liam Hicks,289,9.688581314878892,9.688581314878892,26.678765880217785,10.208816705336426,4.4
656811,Ryan O'Hearn,289,22.14532871972318,6.920415224913495,33.445378151260506,20.03780718336484,6.4
650489,Willi Castro,289,25.60553633217993,8.650519031141869,37.06624605678233,27.035830618892508,6.0
641343,Jake Bauers,288,25.34722222222222,12.5,20.033112582781456,24.897119341563787,12.7
641487,J. P. Crawford,287,19.51219512195122,13.240418118466899,19.93243243243243,15.250544662309368,7.4
682829,Elly De La Cruz,286,28.67132867132867,9.090909090909092,26.600985221674875,26.778242677824267,13.7
687859,Troy Johnston,284,17.253521126760564,8.450704225352112,34.35114503816794,21.3307240704501,2.4
665833,Oneil Cruz,283,34.628975265017665,9.89399293286219,32.36641221374046,35.64356435643565,16.4
665019,Kody Clemens,283,21.20141342756184,6.360424028268551,31.729055258467024,21.973929236499067,12.6
665926,Andrés Giménez,283,19.434628975265017,3.1802120141342756,42.88354898336414,21.95945945945946,3.8
694384,Nolan Schanuel,282,14.893617021276595,8.156028368794326,28.15884476534296,15.968063872255488,2.4
677649,Ezequiel Duran,281,23.487544483985765,7.473309608540926,36.61971830985915,23.646209386281587,5.7
686555,Isaac Collins,281,23.131672597864767,12.099644128113878,19.81132075471698,19.95249406175772,5.7
665742,Juan Soto,281,12.455516014234876,12.811387900355871,20.344827586206897,17.59259259259259,14.4
800050,Chase Delauter,279,13.620071684587813,10.03584229390681,19.485294117647058,13.303769401330378,5.6
683146,Brett Baty,279,27.59856630824373,10.03584229390681,26.956521739130434,26.577437858508603,8.2
656775,Cedric Mullins,278,19.424460431654676,8.273381294964029,29.609929078014183,19.851576994434136,4.1
683083,Nasim Nuñez,275,23.636363636363637,10.181818181818182,26.75044883303411,20.11173184357542,0.0
543807,George Springer,275,19.636363636363637,10.181818181818182,25.261324041811847,21.428571428571427,7.5
686217,Sal Frelick,274,9.124087591240876,8.75912408759124,22.612085769980506,9.049773755656108,2.3
671277,Luis García,274,14.963503649635037,4.37956204379562,40.99264705882353,16.252390057361378,10.0
643446,Jeff Mcneil,273,12.820512820512821,7.326007326007326,32.75529865125241,14.260249554367201,0.9
696285,Jacob Young,272,19.11764705882353,4.411764705882353,27.383367139959432,18.161434977578477,6.4
702332,Caleb Durbin,271,14.391143911439114,5.904059040590406,28.32980972515856,14.732142857142858,2.8
514888,José Altuve,270,21.48148148148148,8.518518518518519,35.055350553505534,23.178807947019866,6.5
691720,Kyle Karros,270,21.11111111111111,11.11111111111111,23.96694214876033,23.38204592901879,7.4
657757,Gavin Sheets,270,23.333333333333332,10.37037037037037,32.27953410981697,18.951612903225808,8.5
545121,Ildemaro Vargas,270,9.25925925925926,4.444444444444445,39.130434782608695,12.606837606837606,4.0
624585,Jorge Soler,270,31.11111111111111,10.0,27.35191637630662,33.72781065088758,11.1
662139,Daulton Varsho,268,20.895522388059703,8.208955223880597,36.21908127208481,18.352059925093634,7.0
803011,Sam Antonacci,265,14.716981132075471,7.547169811320755,21.523809523809526,13.488372093023257,7.0
663757,Trent Grisham,265,15.849056603773585,14.339622641509434,16.34980988593156,15.0,12.0
700932,Kyle Manzardo,265,31.69811320754717,10.566037735849056,31.04631217838765,28.543307086614174,11.4
592626,Joc Pederson,264,21.96969696969697,11.742424242424242,28.125,27.720739219712527,11.2
694212,Samuel Basallo,262,25.954198473282442,7.633587786259542,40.59590316573557,27.680311890838208,11.6
592450,Aaron Judge,261,27.586206896551722,14.17624521072797,25.81168831168831,30.1255230125523,21.7
686948,Drake Baldwin,261,24.521072796934867,9.195402298850574,36.15819209039548,23.904382470119522,16.7
665750,Leody Taveras,261,24.521072796934867,9.578544061302683,30.350877192982455,23.360655737704917,4.1
676609,José Caballero,260,21.53846153846154,6.153846153846154,34.709193245778614,23.725490196078432,3.3
666969,Adolis García,259,32.432432432432435,8.108108108108109,29.776247848537004,31.364562118126273,9.3
702222,Justin Crawford,257,21.40077821011673,6.22568093385214,38.55421686746988,16.346153846153847,1.1
669065,Kyle Stowers,257,31.1284046692607,8.949416342412452,33.52059925093633,33.980582524271846,11.0
669003,Garrett Mitchell,256,33.984375,12.109375,21.973929236499067,34.94505494505494,13.4
643217,Andrew Benintendi,255,25.098039215686274,7.450980392156863,32.27091633466136,26.4,10.5
663616,Trevor Larnach,255,17.647058823529413,10.980392156862745,30.740037950664135,25.176470588235293,6.8
672724,Oswald Peraza,255,27.45098039215686,3.5294117647058822,37.84355179704017,26.027397260273972,8.2
668885,Austin Martin,254,17.716535433070867,12.204724409448819,18.700787401574804,17.974683544303797,2.3
678554,Curtis Mead,253,18.57707509881423,10.671936758893281,25.444839857651246,15.227272727272727,11.0
664983,Jake Mccarthy,250,17.6,5.6,34.08577878103837,19.444444444444443,5.2
808959,Munetaka Murakami,246,32.520325203252035,16.260162601626018,21.901528013582343,38.93805309734513,20.7
668901,Mark Vientos,245,24.081632653061224,4.489795918367347,37.33905579399141,30.595482546201232,9.8
